# Altitude (km), Pressure(atm), Temperature(K), [VMRs:] H2O, CO, SO2, HF, HCL, OCS, H2S, He
1.20000e+01 4.05920e+01 6.43200e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.10000e+01 4.35930e+01 6.50600e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.00000e+01 4.67820e+01 6.58200e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
9.00000e+00 5.01580e+01 6.65800e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
8.00000e+00 5.37410e+01 6.73600e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
7.00000e+00 5.75320e+01 6.81100e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
6.00000e+00 6.15500e+01 6.88800e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
5.00000e+00 6.57950e+01 6.96800e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
4.00000e+00 7.02860e+01 7.04600e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
3.00000e+00 7.50350e+01 7.12400e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.00000e+00 8.00490e+01 7.20200e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.00000e+00 8.53410e+01 7.27700e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
0.00000e+00 9.09180e+01 7.35300e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
